n = 8;
m = 5;
T = 11;
D = 12;
C = 2000;
B = 4500;
f_l = [2, 3, 1, 4, 1, 2, 3, 4, 1, 3, 2, 5];
d_l = [		6, 		7, 		8, 		9,		10, 	10, 	10, 	10, 	11, 	11, 	11, 	11];
Q_l = [	11268, 	23088, 	8034, 	9264,	16242, 	21708, 	47598, 	14736, 	23202, 	49062, 	34464, 	49625];
b_j = [662, 580, 455, 296, 327];
w_j = [11.42, 8.44, 9.23, 8.48, 8.77];
lamda_ij = [[1950, 1600, 1600, 1600, 1600], 
			[1600, 1600, 1950, 1780, 1790], 
			[1600, 1600, 1950, 1680, 1950], 
			[1600, 1600, 1950, 1680, 1950], 
			[1600, 1600, 1950, 1680, 1950], 
			[1600, 1900, 1950, 1680, 1690], 
			[1600, 1600, 1950, 1680, 1690], 
			[1600, 1600, 1950, 1680, 1690]];
alpha_jk = [[100, 60, 0, 0, 0],
			[60, 100, 25, 25, 25],
			[0, 25, 100, 60, 60],
			[0, 25, 60, 100, 75],
			[0, 25, 60, 75, 100]];
u_j = [200, 100, 200, 100, 100];
